Date,Open,High,Low,Close,Adj Close,Volume,BVPS,Symbol
2022-03-07,90.04000091552734,90.05000305175781,84.3499984741211,84.45999908447266,81.21367645263672,14608700,-6.997,SBUX
2022-03-08,84.76000213623047,86.91999816894531,83.76000213623047,84.0,80.77134704589844,10692000,-6.997,SBUX
2022-03-09,86.5,88.12999725341797,86.33000183105469,87.5999984741211,84.23297882080078,8811600,-6.997,SBUX
2022-03-10,86.08999633789062,87.36000061035156,85.5999984741211,87.16000366210938,83.80990600585938,9114300,-6.997,SBUX
2022-03-11,88.3499984741211,88.80999755859375,82.54000091552734,82.7300033569336,79.55017852783203,15351700,-6.997,SBUX
2022-03-14,82.31999969482422,82.33999633789062,78.91999816894531,79.29000091552734,76.24238586425781,18199300,-6.997,SBUX
2022-03-15,80.5,83.44000244140625,80.27999877929688,83.12000274658203,79.92518615722656,12542300,-6.997,SBUX
2022-03-16,88.01000213623047,90.08999633789062,85.62000274658203,87.41000366210938,84.05028533935547,21207900,-6.997,SBUX
2022-03-17,87.45999908447266,87.94999694824219,86.01000213623047,87.66000366210938,84.29068756103516,8554200,-6.997,SBUX
2022-03-18,86.12000274658203,89.75,84.9800033569336,89.5999984741211,86.15612030029297,23784200,-6.997,SBUX
2022-03-21,89.61000061035156,89.72000122070312,85.97000122070312,86.86000061035156,83.52142333984375,11925300,-6.997,SBUX
2022-03-22,87.4000015258789,89.0999984741211,87.1500015258789,87.88999938964844,84.51183319091797,8447400,-6.997,SBUX
2022-03-23,87.36000061035156,87.70999908447266,86.0999984741211,86.22000122070312,82.90602111816406,7670500,-6.997,SBUX
2022-03-24,86.83000183105469,87.1500015258789,85.55999755859375,87.12000274658203,83.77143096923828,6163400,-6.997,SBUX
2022-03-25,87.38999938964844,87.66999816894531,86.22000122070312,87.44999694824219,84.08875274658203,7048100,-6.997,SBUX
2022-03-28,87.4800033569336,88.41999816894531,86.75,88.37999725341797,84.98300170898438,5981000,-6.997,SBUX
2022-03-29,89.69999694824219,91.9000015258789,89.66000366210938,91.2300033569336,87.72347259521484,8963200,-6.997,SBUX
2022-03-30,90.75,91.54000091552734,90.4000015258789,91.02999877929688,87.53114318847656,8122100,-6.997,SBUX
2022-03-31,91.31999969482422,92.62999725341797,90.97000122070312,90.97000122070312,87.47345733642578,11306100,-6.997,SBUX
2022-04-01,91.5,91.88999938964844,90.4800033569336,91.48999786376953,87.97347259521484,6516300,-6.997,SBUX
2022-04-04,87.88999938964844,88.45999908447266,86.18000030517578,88.08999633789062,84.70414733886719,16243100,-6.997,SBUX
2022-04-05,86.55999755859375,86.62000274658203,83.81999969482422,84.12000274658203,80.8867416381836,17525800,-6.997,SBUX
2022-04-06,83.6500015258789,83.88999938964844,82.06999969482422,83.36000061035156,80.15595245361328,10567000,-6.997,SBUX
2022-04-07,82.98999786376953,83.5,81.44999694824219,83.12000274658203,79.92518615722656,10869100,-6.997,SBUX
2022-04-08,83.19000244140625,83.19000244140625,81.33999633789062,81.5199966430664,78.38667297363281,9286800,-6.997,SBUX
2022-04-11,80.87999725341797,81.73999786376953,80.29000091552734,80.68000030517578,77.57896423339844,8623200,-6.997,SBUX
2022-04-12,80.83000183105469,81.2699966430664,79.6500015258789,79.79000091552734,76.72317504882812,8472500,-6.997,SBUX
2022-04-13,79.87999725341797,81.30999755859375,79.61000061035156,80.91999816894531,77.80973815917969,8604400,-6.997,SBUX
2022-04-14,80.75,81.08000183105469,79.25,79.5,76.4443130493164,9567200,-6.997,SBUX
2022-04-18,79.04000091552734,79.97000122070312,78.87999725341797,79.5999984741211,76.54047393798828,7797300,-6.997,SBUX
2022-04-19,79.62000274658203,81.54000091552734,79.41000366210938,81.22000122070312,78.09820556640625,8622100,-6.997,SBUX
2022-04-20,81.30999755859375,81.5199966430664,80.0,80.16999816894531,77.08856964111328,8368800,-6.997,SBUX
2022-04-21,81.05000305175781,81.19000244140625,78.7300033569336,78.95999908447266,75.92506408691406,8152500,-6.997,SBUX
2022-04-22,78.88999938964844,79.4800033569336,77.77999877929688,77.91999816894531,74.92504119873047,10315500,-6.997,SBUX
2022-04-25,77.37999725341797,78.08000183105469,76.7300033569336,77.9800033569336,74.98274230957031,10259000,-6.997,SBUX
2022-04-26,77.48999786376953,77.58000183105469,75.62999725341797,75.62999725341797,72.72306060791016,8800500,-6.997,SBUX
2022-04-27,75.37999725341797,76.43000030517578,74.68000030517578,74.73999786376953,71.86727905273438,8467300,-6.997,SBUX
2022-04-28,75.62000274658203,77.0999984741211,74.86000061035156,76.58000183105469,73.63655090332031,8818500,-6.997,SBUX
2022-04-29,76.0199966430664,76.7699966430664,74.4800033569336,74.63999938964844,71.7711181640625,9199300,-6.997,SBUX
2022-05-02,75.25,75.72000122070312,73.47000122070312,75.37000274658203,72.47306060791016,12379000,-6.997,SBUX
2022-05-03,75.72000122070312,75.79000091552734,73.37999725341797,74.33000183105469,71.47303009033203,15570100,-6.997,SBUX
2022-05-04,79.30999755859375,82.87000274658203,77.91999816894531,81.63999938964844,78.50206756591797,30199700,-6.997,SBUX
2022-05-05,80.43000030517578,81.22000122070312,77.12999725341797,77.4800033569336,74.50196075439453,19114700,-6.997,SBUX
2022-05-06,77.02999877929688,77.19999694824219,75.20999908447266,76.5199966430664,73.57884979248047,11165800,-6.997,SBUX
2022-05-09,75.23999786376953,76.55000305175781,73.33000183105469,73.48999786376953,70.66532135009766,12863600,-6.997,SBUX
2022-05-10,74.8499984741211,75.05000305175781,71.61000061035156,71.86000061035156,69.09796142578125,14085900,-6.997,SBUX
2022-05-11,71.55000305175781,71.94999694824219,69.95999908447266,70.05999755859375,67.36715698242188,12118100,-6.997,SBUX
2022-05-12,69.1500015258789,70.02999877929688,68.38999938964844,69.9000015258789,67.68670654296875,15460600,-6.997,SBUX
2022-05-13,71.87999725341797,75.7300033569336,71.87999725341797,75.5999984741211,73.20622253417969,18156300,-6.997,SBUX
2022-05-16,74.94000244140625,75.44000244140625,72.30999755859375,72.41999816894531,70.12689971923828,11435300,-6.997,SBUX
2022-05-17,74.01000213623047,74.3499984741211,72.83999633789062,73.72000122070312,71.38575744628906,12454500,-6.997,SBUX
2022-05-18,73.1500015258789,73.54000091552734,70.77999877929688,71.27999877929688,69.02300262451172,10576500,-6.997,SBUX
2022-05-19,71.0999984741211,72.41999816894531,70.33000183105469,71.93000030517578,69.65243530273438,11193700,-6.997,SBUX
2022-05-20,72.87999725341797,73.43000030517578,71.45999908447266,73.38999938964844,71.06620788574219,15941800,-6.997,SBUX
2022-05-23,73.7300033569336,74.2699966430664,72.56999969482422,73.41999816894531,71.09525299072266,10741900,-6.997,SBUX
2022-05-24,72.97000122070312,73.33000183105469,71.2699966430664,72.72000122070312,70.41741180419922,9227700,-6.997,SBUX
2022-05-25,72.72000122070312,73.5,71.93000030517578,72.4800033569336,70.18501281738281,8344400,-6.997,SBUX
2022-05-26,72.94999694824219,74.7699966430664,72.87000274658203,74.48999786376953,72.13135528564453,8940900,-6.997,SBUX
2022-05-27,75.2300033569336,76.72000122070312,75.1500015258789,76.70999908447266,74.28107452392578,8498400,-6.997,SBUX
2022-05-31,76.97000122070312,79.66000366210938,76.55000305175781,78.5,76.01439666748047,23361800,-6.997,SBUX
2022-06-01,78.75,78.87999725341797,76.05000305175781,76.27999877929688,73.86469268798828,7579000,-6.997,SBUX
2022-06-02,76.54000091552734,79.5,75.8499984741211,79.41999816894531,76.90526580810547,10241500,-6.997,SBUX
2022-06-03,79.0,79.9000015258789,78.31999969482422,79.05000305175781,76.5469741821289,10415700,-6.997,SBUX
2022-06-06,79.69999694824219,81.30000305175781,78.52999877929688,78.9800033569336,76.47919464111328,7239400,-6.997,SBUX
2022-06-07,78.56999969482422,79.75,78.26000213623047,79.47000122070312,76.95368957519531,5517100,-6.997,SBUX
2022-06-08,78.9000015258789,79.7699966430664,78.26000213623047,78.47000122070312,75.98534393310547,5178300,-6.997,SBUX
2022-06-09,77.97000122070312,80.2699966430664,77.7300033569336,78.91000366210938,76.41141510009766,13248100,-6.997,SBUX
2022-06-10,77.0199966430664,77.79000091552734,75.66000366210938,75.66999816894531,73.27400207519531,8694300,-6.997,SBUX
2022-06-13,73.08999633789062,74.01000213623047,71.91000366210938,72.36000061035156,70.06881713867188,9282800,-6.997,SBUX
2022-06-14,72.8499984741211,73.83999633789062,71.52999877929688,72.30999755859375,70.02039337158203,7635600,-6.997,SBUX
2022-06-15,73.25,75.2699966430664,73.11000061035156,74.19000244140625,71.84087371826172,7682300,-6.997,SBUX
2022-06-16,72.43000030517578,72.61000061035156,70.3499984741211,70.94999694824219,68.70345306396484,10147000,-6.997,SBUX
2022-06-17,71.08000183105469,72.44000244140625,70.7699966430664,71.87000274658203,69.59432983398438,9824300,-6.997,SBUX
2022-06-21,73.05999755859375,73.16999816894531,72.02999877929688,72.95999908447266,70.64981842041016,7872500,-6.997,SBUX
2022-06-22,72.37000274658203,73.81999969482422,72.22000122070312,73.30000305175781,70.97904968261719,6702200,-6.997,SBUX
2022-06-23,73.86000061035156,75.36000061035156,73.51000213623047,75.19999694824219,72.81888580322266,6586400,-6.997,SBUX
2022-06-24,75.66000366210938,78.1500015258789,75.55000305175781,78.11000061035156,75.63674926757812,18012000,-6.997,SBUX
2022-06-27,78.0,78.44000244140625,77.2699966430664,77.68000030517578,75.2203598022461,6672200,-6.997,SBUX
2022-06-28,78.38999938964844,79.88999938964844,76.19000244140625,76.33999633789062,73.92279052734375,7206400,-6.997,SBUX
2022-06-29,76.20999908447266,77.1500015258789,75.63999938964844,76.43000030517578,74.00993347167969,8983900,-6.997,SBUX
2022-06-30,76.01000213623047,76.87999725341797,74.87000274658203,76.38999938964844,73.97120666503906,6781100,-6.997,SBUX
2022-07-01,76.7300033569336,79.47000122070312,76.54000091552734,79.26000213623047,76.75033569335938,7539200,-6.997,SBUX
2022-07-05,78.0199966430664,79.55000305175781,77.36000061035156,79.5199966430664,77.0020980834961,8087800,-6.997,SBUX
2022-07-06,79.83000183105469,80.47000122070312,78.18000030517578,78.86000061035156,76.36299133300781,4652800,-6.997,SBUX
2022-07-07,78.80999755859375,79.6500015258789,78.37000274658203,79.23999786376953,76.73095703125,5395600,-6.997,SBUX
2022-07-08,78.69000244140625,79.62999725341797,78.2699966430664,79.27999877929688,76.76969146728516,3927100,-6.997,SBUX
